about	round	around
on	over	about
have gone to abroad	have gone abroad
["we" "surprise"]	["it's" "surprise to us"]	["it is" "surprising"]	["it's" "surprising"]
["we" "surprised"]	["it was" "surprising"]	["it was" "surprising"]
["do we" "surprise"]	["is it" "surprising"]
do me surprise	be surprise	be surprising
["do me" "surprise"]	["'s" "surprise to me"]
["do us" "surprise"]	["'s" "surprise to us"]
["surprised" "with"]	["surprised" "at"]
["surprised" "from"]	["surprised" "at"]
["suspect" "for"]	["suspect" "of"]
["suspect" "to"]	["suspect" "of"]
["suspicious" "of"]	["suspected" "of"]
suspected	suspicious
["suspected" "of"]	["suspicious" "of"]
suspected	suspicious
sweep	wipe	brush
sweet	fresh
["make" "swim"]	["have" "swim"]
["do" "swim"]	["have" "swim"]
sympathize	like	love
sympathy	love
syndicate	trade union	labour union
trade union	syndicate	co-operative
synthesis	composition
tableau	picture
tachometer	speedometer
take	buy	catch
["take" "care"]	["pay" "attention"]
["care" "take"]	["attention" "pay"]
be careful	pay attention
care for me	pay attention
care for us	pay attention
care for you	pay attention
care for it	pay attention
care for her	pay attention
care for him	pay attention
care for them	pay attention
care of me	pay attention
care of us	pay attention
care of you	pay attention
care of it	pay attention
care of her	pay attention
care of him	pay attention
care of them	pay attention
["give" "attention"]	["pay" "attention"]
["attention" "give"]	["attention" "pay"]
["pay" "attention"]	["take" "care"]
["attention" "pay"]	["care" "take"]
pay attention	be careful
["pay" "attention to"]	["take" "care of"]
["pay attention" "to"]	["take care" "of"]	["care" "for"]
["be careful" "of"]	["take care" "of"]	["care" "for"]
["take" "from"]	["take" "by"]
take it easy with	go easy on
["take" "off"]	["put" "off"]	["put" "out"]
["put" "off"]	["take" "off"]
["take" "off"]	["put" "out"]
take place	take part in
take part	take place
have place	take place
take place	sit down
what height	how tall
how much tall	how tall
["how much height" "be"]	["how tall" "be"]
["have" "foot tall"]	["be" "foot tall"]	["be" "foot"]
["have" "feet tall"]	["be" "feet tall"]	["be" "feet"]
["have" "height tall"]	["be" "foot tall"]	["be" "foot"]
["have" "height feet tall"]	["be" "feet tall"]	["be" "feet"]
how much tall	how tall
["how much high" "be"]	["what height" "be"]	["how high" "be"]
["how much height" "have"]	["what height" "be"]	["how high" "be"]
tank	reservoir
cistern	reservoir
reservoir	tank
cistern	tank
reservoir	tank
tank	cistern
reservoir	cistern
tapestry	wallpaper	carpet
tariff	price-list
charge	fee
tariff	fee
pasta	cream cake
["taste" "badly"]	["taste" "bad"]
taste	try
probe	try	taste
be tasty	have excellent taste
be tasteful	have excellent taste
be very tasty	be in very good taste
have very good taste	be in very good taste
tasty	tasteful	pretty
technique	technician	specialist	technology
make my teeth	do my teeth
["my teeth" "make"]	["my teeth" "do"]
make our teeth	do our teeth
make your teeth	do your teeth
make her teeth	do her teeth
make his teeth	do his teeth
["his teeth" "make"]	["his teeth" "do"]
make their teeth	do their teeth
temper	mood
keep my mood	keep my temter
keep our mood	keep our temter
keep your mood	keep your temper
keep its mood	keep its temper
keep her mood	keep her temper
keep his mood	keep his temper
keep their mood	keep their temper
["his mood" "keep"]	["his temper" "keep"]
lose my tempter	lose my tempter
lose our tempter	lose our tempter
lose your mood	lose your temper
lose its mood	lose its temper
lose her mood	lose her temper
lose his mood	lose his temper
lose their mood	lose their temper
temperament	liveliness	spirit
temple	church
term	end	stop	station
terminus	stop	station
terminal	stop	station
term	terminus	terminal
terrace	balcony	penthouse
terrible	terrific
terrific	frightening	terrifying
terrible	frightening	terrifying
testament	will
thank to god	thank god
thank you	no thank you	no thanks
per the dozen	by the dozen
["do" "lesson"]	["do" "subject"]
["lesson" "do"]	["subject" "do"]
["make" "lesson"]	["do" "subject"]	["take" "subject"]
["lesson" "make"]	["subject" "do"]	["subject" "take"]
from then	from then on
has	there's	there is
it has	there's
["it" "have"]	["there" "be"]
do it have	be there
it is	there's
["it" "be"]	["there" "be"]
["be" "it"]	["be" "there"]
it has	there are
has	there are
are	there are
had	there were	there was
["there" "be"]	["it" "have"]
["it" "have"]	["there" "exist"]
in these days	nowadays	these days
at this time	nowadays	these days
thick	thickly
thin	get really thin	wear really thin
["get" "thin"]	thin
thin	thinly
I think it	I think so
I think no	I don't think so
I think not	I don't think so
think	think of
have thirst	be thirsty	're thirsty
thirsty	thirsty person
this night	tonight
this	this girl
this	this boy
["throw" "down"]	["knock" "down"]
["throw" "to"]	["throw" "at"]
throw	["throw" "away"]	["throw" "out"]	drop
tighten	get very tight
till	as far as	to
to	till	until
timber	piece of timber
that time	at that time
time	weather
shy	timid	fearful
tiredness	fatigue
to	towards	toward
towards	to
toward	to
toast	slice of toast	toasted sandwich
today generation	present generation
today morning	this morning
toilet	clothes	dressing table
tomorrow the noon	tomorrow at noon
at tomorrow morning	tomorrow morning
at tomorrow afternoon	tomorrow afternoon
at tomorrow evening	tomorrow evening
at tomorrow night	tomorrow night
on tomorrow morning	tomorrow morning
on tomorrow afternoon	tomorrow afternoon
on tomorrow evening	tomorrow evening
on tomorrow night	tomorrow night
tongue	language
too	also
as well	also
too	either
also	either
as well	either
too	very
too much	very much	a lot
very much	a lot	too much
["have my" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["have our" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["have your" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["have its" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["have her" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["have his" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["have their" "tooth"]	["have" "toothache"]	["'ve got" "toothache"]
["do" "toothache"]	["have" "toothache"]	["get" "toothache"]
["make" "toothache"]	["have" "toothache"]	["get" "toothache"]
toothpaste	tube of toothpaste
topical	local
lamp	torch	flashlight
whole	whole bill	whole sum
total	whole
track	trace	sign
trace	track
sign	track
["translate" "to"]	["translate" "into"]
go on a travel	travel
make a travel	travel
do a travel	travel
have a travel	travel
treat	deal with	handle
use	deal with	handle
treat	deal with
use	deal with
handle	deal with
use	deal with
treat	deal with
treatment	use
handling	use
["on" "approval"]	["on" "trial"]
["do" "trouble"]	["make" "trouble"]	["make" "problem"]	["cause" "trouble"]	["cause" "problem"]
["trouble" "do"]	["trouble" "make"]	["problem" "make"]	["trouble" "cause"]	["problem" "cause"]
["make" "trouble"]	["give" "trouble"]	["cause" "trouble"]
["trouble" "make"]	["trouble" "give"]	["trouble" "cause"]
["do" "trouble"]	["give" "trouble"]	["cause" "trouble"]
["trouble" "do"]	["trouble" "give"]	["trouble" "cause"]
trouble	a lot of troubles
pair of trousers	pair of pantaloons
["say" "truth"]	["tell" "truth"]
["truth" "say"]	["truth" "tell"]
["do" "try"]	["have" "try"]
["try" "do"]	["try" "have"]
return back	return
turn back	return
return	return to
two times	twice
type	fellow	chap
character	fellow	chap
typist	typewriter
typing machine	typewriter
typewriting machine	typewriter
typewriter	typist
typical	customary	formal
undertaker	entrepreneur
unsympathetic	disagreeable
by	till
up	over
["do" "use"]	["make" "use"]
["use" "do"]	["use" "make"]
use to	[""]
vacancy	holiday	vacation
vacation	holiday
vapour	steam
vapor	steam
steam	vapour	vapor
veal	calf
venison	deer
very much	distant
["via" "air"]	["by" "air"]
visage	face
vis-à-vis	face-to-face	facing each other
optical	visual
vital	lively
alive	lively
vital	vivid
lively	vital	alive
vitro	window	shop window	window display
crystal	window	shop window
wage	salary
wagon	carriage	compartment
cart	carriage	compartment
wagon	car
cart	wagon
carriage	wagon
compartment	wagon
by sleeping	by sleeping car
by wagon-lit	by sleeping car
car	cart	wagon
wait	expect
wait for	expect
wait	wait for
["expect" "for"]	["wait" "for"]
wait	look forward to
["wait" "for"]	["look forward" "to"]
expect	look forward to
look very forward to	very much look forward to
["await" "for"]	["wait" "for"]
await for	await
awake up	wake up	awake
awake	wake up	wake	waken
["do" "ride"]	["go for" "ride"]	["go on" "ride"]
["have" "walk"]	["have" "ride"]
["walk" "have"]	["ride" "have"]
["make" "ride"]	["have" "ride"]
["walk" "make"]	["ride" "have"]
["do" "ride"]	["have" "ride"]
["do" "make"]	["ride" "have"]
["go for" "walk"]	["go for" "drive"]
["walk" "go for"]	["drive" "go for"]
["go on" "walk"]	["go on" "drive"]
["walk" "go on"]	["drive" "go on"]
["have" "walk"]	["have" "drive"]
["drive" "walk"]	["drive" "have"]
["do" "drive"]	["have" "drive"]
["drive" "do"]	["drive" "have"]
["make" "drive"]	["have" "drive"]
["drive" "make"]	["drive" "have"]
ride	flight
["make" "flight"]	["have" "flight"]
["do" "flight"]	["have" "flight"]
["make" "walk"]	["have" "walk"]
["walk" "make"]	["walk" "have"]
["do" "walk"]	["have" "walk"]
["walk" "do"]	["walk" "have"]
["go" "walk"]	["go for" "walk"]
["walk" "go"]	["walk" "go for"]
I want	I want to
I don't want	I don't want to
want	want to	["want" "to"]	need
demand	need
need	want
demand	want
["do" "war"]	["make" "war"]
["war" "do"]	["war" "make"]
["make" "war"]	["have" "war"]
["war" "make"]	["war" "have"]
["do" "war"]	["have" "war"]
["war" "do"]	["war" "have"]
wardrobe	cupboard
cloakroom	guardroom
["warn" "for"]	["warn" "of"]
advise	warn
wash myself	have a wash
wash ourselves	have a wash
wash yourself	have a wash
wash yourselves	have a wash
wash itself	have a wash
wash herself	have a wash
wash himself	have a wash
wash themselves	have a wash
["make" "wash"]	["have" "wash"]
["wash" "make"]	["wash" "have"]
["do" "wash"]	["have" "wash"]
["wash" "do"]	["wash" "have"]
make a wash	do a wash
["wash" "make"]	["wash" "do"]
["make" "washing"]	["do" "washing"]
["washing" "make"]	["washing" "do"]
["make" "washing-up"]	["do" "washing-up"]
["washing-up" "make"]	["washing-up" "do"]
water	glass of water
many waters	a lot of water
wax	candle	polish
["do my" "way"]	["make my" "way"]
["my way" "do"]	["my way" "make"]
["do our" "way"]	["make our" "way"]
["our way" "do"]	["our way" "make"]
["do your" "way"]	["make your" "way"]
["your way" "do"]	["your way" "make"]
["do its" "way"]	["make its" "way"]
["its way" "do"]	["its way" "make"]
["do her" "way"]	["make her" "way"]
["her way" "do"]	["her way" "make"]
["do his" "way"]	["make his" "way"]
["his way" "do"]	["his way" "make"]
["do their" "way"]	["make their" "way"]
["their way" "do"]	["their way" "make"]
["on" "way of"]	["in" "process of"]
["in" "way of"]	["in" "process of"]
way	manner
weaken	get very weak	become very weak
get weak	weaken
rich	wealth
the other week	next week
the past week	last week
by week	weekly	once a week
welcome in	welcome to
be welcome	you are welcome
it has wet	it's wet
I wet	I get very wet
I wet myself	I get very wet
what tall	how tall
for this	that's why
for that	that's why
why not to	why don't you	why not	fine	go ahead	by all means
["how much wide" "be"]	["how wide" "be"]	["what width" "be"]
["how much width" "have"]	["how wide" "be"]	["what width" "be"]
["go" "widely"]	["go" "wide"]
wide	widely
widen	["let" "out"]
wild	game	wild animal
will to	will
would to	would
shan't	will	won't
["will" "to"]	["want" "to"]
will	want
wish	wish for
wish that I	wish to
wish that we	wish to
wish that you	wish to
wish that it	wish to
wish that she	wish to
wish that he	wish to
wish that they	wish to
wish that I	wish me to
wish that we	wish us to
wish that you	wish you to
wish that it	wish it to
wish that she	wish her to
wish that he	wish him to
wish that they	wish them to
with other words	in other words
["make" "work"]	["do" "work"]
["work" "make"]	["work" "do"]
workshop	laboratory
["worried" "for"]	["worried" "about"]
more bad than	worse than
would	used to
wound	injure	hurt
injure	wound
hurt	wound
["have" "wrong"]	["'re" "wrong"]	["be" "wrong"]
["wrong" "for"]	["wrong" "about"]
["mistaken" "for"]	["wrong" "for"]
["go" "wrongly"]	["go" "wrong"]
["wrongly" "go"]	["wrong" "go"]
["mistaken" "for"]	["wrong" "for"]
["make" "wrong"]	["do" "wrong"]
["wrong" "make"]	["wrong" "do"]
["go" "wrongly"]	["go" "wrong"]
wrongly	wrong
yard	court
courtyard	court	yard
the other year	next year
the past year	last year
yellow	go yellow	turn yellow
yesterday the noon	yesterday at noon
on yesterday morning	yesterday morning
on yesterday evening	yesterday evening
on last night	last night
in yesterday morning	yesterday morning
in yesterday evening	yesterday evening
in last night	last night
youngest	latest
newest	latest
latest	youngest	newest
youngest	newest	latest
